ID,Channel_name,Parse_Mode,Folder,Notify
1493720845,CAZADOR,False,Trading,True
1562893808,Trade Community,False,Trading,True
1610165996,TRADING BOT - [VIP],False,Trading,True
1772115937,Crypto Futures [Signal],False,Trading,True
1856332402,KARO TRADE,False,Trading,True
1858407380,PRO TRADING | SIGNALS,False,Trading,True
2040616386,Охотники за ликвидностью,False,Trading,True
2058207944,вип лесенка ~ марафон,False,Trading,True
2064539704,PRODIGI TRADE,False,Trading,True
2086760752,Закрытый канал Рафаэля,False,Trading,True
2097903821,Long way of Alan | Trades,False,Trading,True
